exemplo
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24698.1541 17323.88022 43518.67620 4 00000000080820', 'valor': 808.2, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 887, 'agencia': 1, 'linhaDigitavel': '88797.4120 47956.37950 18494.15143 6 00000000035660', 'valor': 356.6, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24696.3386 92492.51272 96485.09213 3 00000000028824', 'valor': 288.24, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '89993.9065 43127.12893 49407.01522 0 00000000029348', 'valor': 293.48, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24698.6018 29110.72874 50890.15533 5 00000000089755', 'valor': 897.55, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24695.2447 37993.26695 79439.15880 6 00000000059441', 'valor': 593.42, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24696.3023 19858.35685 75109.38196 4 00000000021990', 'valor': 219.9, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4007, 'linhaDigitavel': '24697.3020 68873.01488 41958.51359 2 00000000081316', 'valor': 813.16, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24693.9572 71650.00550 91064.85000 7 00000000005272', 'valor': 52.72, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24663.7080 25247.73674 48311.89601 7 00000000035595', 'valor': 355.95, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24698.2991 14052.32654 98179.28129 9 00000000077168', 'valor': 771.68, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 949, 'agencia': 1, 'linhaDigitavel': '94994.8891 07936.66085 71924.92622 3 00000000009866', 'valor': 98.66, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24698.4895 37340.78149 08899.69544 6 00000000026043', 'valor': 260.43, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '76995.5537 17228.90643 11861.51844 0 00000000089982', 'valor': 899.82, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24695.8578 55329.13524 38511.40028 5 00000000067171', 'valor': 671.71, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24696.6116 86959.18068 17942.24855 0 00000000059511', 'valor': 594.11, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24696.1039 89340.05942 70523.97449 3 00000000037105', 'valor': 371.05, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4584, 'linhaDigitavel': '24699.2003 56608.32216 27792.66690 9 00000000051287', 'valor': 512.87, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24694.3423 19326.11538 03240.91811 8 00000000024535', 'valor': 245.35, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24654.6795 15499.71077 08966.88198 2 00000000002293', 'valor': 22.93, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24698.8373 99777.51313 20712.95117 5 00000000027632', 'valor': 276.32, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 873, 'agencia': 1, 'linhaDigitavel': '87399.3738 28701.76675 02236.73341 3 00000000083139', 'valor': 831.39, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24695.7356 02495.27046 19042.51416 6 00000000053367', 'valor': 533.68, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '48599.8621 63173.71013 58822.52458 9 00000000078844', 'valor': 788.44, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24698.6988 47912.77791 19054.56798 8 00000000046785', 'valor': 467.85, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24699.1638 88040.78103 24841.84218 9 00000000078650', 'valor': 785.5, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24694.1293 64204.15487 78043.60842 1 00000000058892', 'valor': 588.93, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 3870, 'linhaDigitavel': '24695.6999 77371.41566 26082.71478 3 00000000035054', 'valor': 350.54, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24691.6178 73294.86691 58732.35253 9 00000000070535', 'valor': 705.35, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24632.9285 29551.44886 98262.56586 1 00000000063826', 'valor': 638.26, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24692.6797 53616.36234 70787.91369 8 00000000073971', 'valor': 739.71, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 948, 'agencia': 1, 'linhaDigitavel': '94890.4521 31172.52914 03478.34514 0 00000000049510', 'valor': 495.1, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24699.8338 92534.24574 56734.25588 2 00000000013634', 'valor': 136.34, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '11099.0286 48604.95735 41366.50320 9 00000000086921', 'valor': 869.21, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24699.4778 45497.07772 25475.08262 3 00000000096074', 'valor': 960.74, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24693.4941 92352.06396 65719.38974 7 00000000097317', 'valor': 972.17, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24692.1774 06941.27743 96378.98391 7 00000000034522', 'valor': 345.22, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 9119, 'linhaDigitavel': '24695.1789 58180.02024 13064.56157 5 00000000040451', 'valor': 404.51, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24695.0834 36795.23012 60394.96271 2 00000000063854', 'valor': 638.54, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24656.0747 28202.45160 01829.29401 5 00000000019291', 'valor': 192.91, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24692.1140 54469.06575 26429.85352 7 00000000058991', 'valor': 589.92, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 271, 'agencia': 1, 'linhaDigitavel': '27198.1011 34315.93356 84504.34722 8 00000000028766', 'valor': 287.66, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24694.8694 47850.15971 45511.55085 3 00000000057396', 'valor': 573.96, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '87397.2312 10626.24221 00527.86786 1 00000000062733', 'valor': 627.33, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24690.0231 09761.04462 70117.83159 0 00000000018783', 'valor': 187.83, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24693.6049 66838.79594 23634.14010 9 00000000095094', 'valor': 949.94, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24692.4802 36059.53360 74535.73718 2 00000000037587', 'valor': 375.87, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 2623, 'linhaDigitavel': '24692.4516 84725.36297 09138.98992 2 00000000086848', 'valor': 868.48, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24692.7683 37488.44501 54679.87146 9 00000000024123', 'valor': 241.23, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24603.2594 46318.69603 63871.20619 8 00000000029889', 'valor': 298.9, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24694.9978 99062.46309 02245.37164 1 00000000038362', 'valor': 383.62, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 332, 'agencia': 1, 'linhaDigitavel': '33296.9806 05051.13700 49699.22186 7 00000000014469', 'valor': 144.7, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24693.9547 68665.80776 13595.03458 4 00000000049286', 'valor': 492.86, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '57995.4804 22303.98648 01825.68253 6 00000000053161', 'valor': 531.61, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24699.5605 07620.50050 83704.63597 7 00000000023359', 'valor': 233.59, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24692.0286 66522.67941 87940.41512 9 00000000036453', 'valor': 363.53, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1, 'linhaDigitavel': '24697.7087 64214.41395 75683.63271 9 00000000007836', 'valor': 78.36, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 9131, 'linhaDigitavel': '24691.6445 21760.81669 19897.70305 8 00000000037278', 'valor': 372.78, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24699.4054 21758.77983 77723.73015 5 00000000001923', 'valor': 19.24, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24601.0540 22367.03321 03925.81221 7 00000000010995', 'valor': 109.95, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24696.9921 70642.32447 45269.06873 1 00000000053644', 'valor': 536.44, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 809, 'agencia': 4, 'linhaDigitavel': '80999.4468 29680.20841 02330.62437 0 00000000012606', 'valor': 126.06, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24699.1496 08619.72456 45059.31882 3 00000000011648', 'valor': 116.48, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '22590.6793 55937.12805 72970.50427 8 00000000080762', 'valor': 807.62, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24696.0351 37144.34693 60287.00995 7 00000000072413', 'valor': 724.13, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24695.5186 18845.93226 88502.01048 6 00000000038662', 'valor': 385.62, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24699.2088 71998.67294 51130.44335 6 00000000073739', 'valor': 737.39, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1233, 'linhaDigitavel': '24699.7898 11851.91650 85026.45780 3 00000000095562', 'valor': 955.62, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24693.1309 87103.59504 73331.93539 3 00000000093687', 'valor': 936.87, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24676.6462 87488.87451 92733.77114 3 00000000056241', 'valor': 562.42, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24694.8523 75318.14626 41309.88944 6 00000000013630', 'valor': 136.3, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 197, 'agencia': 4, 'linhaDigitavel': '19797.6420 10654.92501 47811.50293 7 00000000059550', 'valor': 595.5, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24696.1310 19553.10614 31938.78364 6 00000000039644', 'valor': 396.44, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '02693.2076 15050.21364 32622.66187 8 00000000013946', 'valor': 139.46, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24692.7739 50666.91465 66846.94481 2 00000000002127', 'valor': 21.27, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24692.2798 94956.46398 42793.53027 0 00000000078712', 'valor': 786.12, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24696.7089 95529.18711 57950.15749 5 00000000033487', 'valor': 334.87, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1953, 'linhaDigitavel': '24697.5038 35608.14986 08276.12433 1 00000000037205', 'valor': 372.05, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24691.8777 54616.63939 15169.89168 6 00000000092647', 'valor': 926.47, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24630.7069 91626.41502 96178.48997 8 00000000076945', 'valor': 769.45, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24690.3636 65185.19239 97174.78612 1 00000000048504', 'valor': 485.04, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 803, 'agencia': 4, 'linhaDigitavel': '80396.7704 04649.27769 36428.83646 7 00000000023881', 'valor': 238.81, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24691.6367 80083.85475 49714.18662 6 00000000062585', 'valor': 625.85, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24898.6152 91036.88858 19741.60459 3 00000000078318', 'valor': 783.18, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24695.8371 09093.83308 89303.68078 0 00000000042874', 'valor': 428.74, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24694.4107 14523.72932 23062.48224 5 00000000016844', 'valor': 167.44, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24698.1104 26929.61801 90490.10187 1 00000000089791', 'valor': 897.91, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 1008, 'linhaDigitavel': '24693.4129 74907.28724 77360.86848 2 00000000064696', 'valor': 646.96, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24695.7911 64062.94173 20418.30889 6 00000000036188', 'valor': 361.88, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24670.1367 93289.78566 65897.23452 7 00000000003764', 'valor': 37.64, 'label': 0}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 246, 'agencia': 4, 'linhaDigitavel': '24699.3857 78551.74002 21138.71748 3 00000000068883', 'valor': 688.83, 'label': 1}"
"{'banco': 'BANCO ABC BRASIL S.A.', 'codigoBanco': 553, 'agencia': 4, 'linhaDigitavel': '55396.0743 03102.46981 13381.38831 2 00000000066738', 'valor': 667.38, 'label': 0}"
